NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
AC002,BROCA METAL 1/8 Pulgadas, 12.000 ,UNIDAD,ACCESORIOS,16/01/2026, 34.121 ,COR
AC007,DESARMADOR, 1.000 ,UNIDAD,ACCESORIOS,12/07/2019, 40.000 ,COR
AC022,DOBLADORA P/TUBO EMT 1/2 Pulgadas, 1.000 ,UNIDAD,ACCESORIOS,10/03/2018, 576.050 ,COR
AC035,PERNO HEX. 5/8 X 2-1/2 Pulgadas GR-8, 342.000 ,UNIDAD,ACCESORIOS,07/09/2021," 1,150.820 ",COR
AC036,ARANDELA PRESION 5/8 Pulgadas GR-8," 2,258.000 ",UNIDAD,ACCESORIOS,15/06/2023, 3.415 ,COR
AC037,UNIDAD A/PLANA 5/8 Pulgadas GR-8, 760.000 ,UNIDAD,ACCESORIOS,15/06/2023, 9.000 ,COR
AC038,HEX. METRICO HO 16X50, 47.000 ,UNIDAD,ACCESORIOS,08/07/2020, 50.220 ,COR
AC040,TUERCA HEX. METRICA HO M16, 888.000 ,UNIDAD,ACCESORIOS,06/04/2022, 10.136 ,COR
AC043,TUERCA HEX. INOX 5/16 Pulgadas, 270.000 ,UNIDAD,ACCESORIOS,05/09/2025, 4.202 ,COR
AC044,ARANDELA PRESION INOX 1/4 Pulgadas, 200.000 ,UNIDAD,ACCESORIOS,31/08/2019, 0.260 ,COR
AC045,ARANDELA PRESION INOX 5/16 Pulgadas, 422.000 ,UNIDAD,ACCESORIOS,15/10/2019, 0.270 ,COR
AC046,ARANDELA PLANA INOX 1/4 Pulgadas, 14.000 ,UNIDAD,ACCESORIOS,31/08/2019, 0.270 ,COR
AC047,ARANDELA PLANA INOX 5/16 Pulgadas, 362.000 ,UNIDAD,ACCESORIOS,05/09/2025, 2.432 ,COR
AC052,ARANDELA LISA 5/8 Pulgadas, 859.000 ,UNIDAD,ACCESORIOS,22/12/2022, 8.967 ,COR
AC054,PERNO HEX. 5/8X2 Pulgadas, 1.000 ,UNIDAD,ACCESORIOS,23/10/2019, 12.810 ,COR
AC055,TUERCA HEX. 1 Pulgadas-8 GR-8, 29.000 ,UNIDAD,ACCESORIOS,31/07/2025, 57.954 ,COR
AC063,CAJA EMT COND 4X4 KO 1/2X3/4, 1.000 ,UNIDAD,ACCESORIOS,12/01/2021, 25.210 ,COR
AC066,TAPA CIEGA UL MET. 2X4, 1.000 ,UNIDAD,ACCESORIOS,15/08/2020, 9.170 ,COR
AC069,ALAMB CAB THHN 14 VERDE, 2.000 ,CAJA,ACCESORIOS,27/02/2016, 507.790 ,COR
AC072,CONECTOR CONDUIT 3/4 Pulgadas PVC, 21.000 ,UNIDAD,ACCESORIOS,03/08/2021, 10.000 ,COR
AC083,CONECTOR EMT 3/4 Pulgadas COMPRESION, 206.000 ,UNIDAD,ACCESORIOS,30/10/2024, 24.000 ,COR
AC085,CONECTOR RECTO 2 Pulgadas PARA TUBO, 2.000 ,UNIDAD,ACCESORIOS,03/09/2020, 7.000 ,USD
AC087,CONECTOR RECTO 3/4 Pulgadas PARA TUBO, 82.000 ,UNIDAD,ACCESORIOS,10/06/2021, 1.848 ,USD
AC1005,MARCADOR PERMANENTE EK-400, 24.000 ,UNIDAD,ACCESORIOS,28/01/2026, 54.000 ,COR
