NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra,
AC007,DESARMADOR,1,UNIDAD,ACCESORIOS,12/07/2019,40,COR,
AC022,DOBLADORA P/TUBO EMT 1/2 Pulgadas,1,UNIDAD,ACCESORIOS,10/03/2018,576.05,COR,
AC035,PERNO HEX. 5/8 X 2-1/2 Pulgadas GR-8,342,UNIDAD,ACCESORIOS,07/09/2021,"1,150.82",COR,
AC036,ARANDELA PRESION 5/8 Pulgadas GR-8,"2,260.00",UNIDAD,ACCESORIOS,15/06/2023,3.415,COR,
AC037,UNIDAD A/PLANA 5/8 Pulgadas GR-8,764,UNIDAD,ACCESORIOS,15/06/2023,9,COR,
AC038,HEX. METRICO HO 16X50,47,UNIDAD,ACCESORIOS,08/07/2020,50.22,COR,
AC040,TUERCA HEX. METRICA HO M16,888,UNIDAD,ACCESORIOS,06/04/2022,10.136,COR,
AC043,TUERCA HEX. INOX 5/16 Pulgadas,304,UNIDAD,ACCESORIOS,05/09/2025,4.202,COR,
AC044,ARANDELA PRESION INOX 1/4 Pulgadas,200,UNIDAD,ACCESORIOS,31/08/2019,0.26,COR,
AC045,ARANDELA PRESION INOX 5/16 Pulgadas,440,UNIDAD,ACCESORIOS,15/10/2019,0.27,COR,
AC046,ARANDELA PLANA INOX 1/4 Pulgadas,14,UNIDAD,ACCESORIOS,31/08/2019,0.27,COR,
AC047,ARANDELA PLANA INOX 5/16 Pulgadas,392,UNIDAD,ACCESORIOS,05/09/2025,2.432,COR,
AC052,ARANDELA LISA 5/8 Pulgadas,859,UNIDAD,ACCESORIOS,22/12/2022,8.967,COR,
AC054,PERNO HEX. 5/8X2 Pulgadas,1,UNIDAD,ACCESORIOS,23/10/2019,12.81,COR,
AC055,TUERCA HEX. 1 Pulgadas-8 GR-8,44,UNIDAD,ACCESORIOS,31/07/2025,57.954,COR,
AC063,CAJA EMT COND 4X4 KO 1/2X3/4,1,UNIDAD,ACCESORIOS,12/01/2021,25.21,COR,
AC066,TAPA CIEGA UL MET. 2X4,1,UNIDAD,ACCESORIOS,15/08/2020,9.17,COR,
AC069,ALAMB CAB THHN 14 VERDE,2,CAJA,ACCESORIOS,27/02/2016,507.79,COR,
AC072,CONECTOR CONDUIT 3/4 Pulgadas PVC,21,UNIDAD,ACCESORIOS,03/08/2021,10,COR,
AC083,CONECTOR EMT 3/4 Pulgadas COMPRESION,206,UNIDAD,ACCESORIOS,30/10/2024,24,COR,
AC085,CONECTOR RECTO 2 Pulgadas PARA TUBO,2,UNIDAD,ACCESORIOS,03/09/2020,7,USD,
AC087,CONECTOR RECTO 3/4 Pulgadas PARA TUBO,82,UNIDAD,ACCESORIOS,10/06/2021,1.848,USD,
AC1005,MARCADOR PERMANENTE EK-400,35,UNIDAD,ACCESORIOS,12/09/2025,49.32,COR,
AC1007,PEGAMENTO EN BARRA,4,UNIDAD,ACCESORIOS,12/09/2025,15.24,COR,
AC1008,MASKING TAPE DE  1 Pulgadas  20MTS,96,UNIDAD,ACCESORIOS,12/09/2025,16.92,COR,
AC1015,CONECTOR CAMLOCK 3 Pulgadas MFA 300 LAL,8,UNIDAD,ACCESORIOS,17/08/2024,495.2,COR,
AC1018,SUPER BONDER LOCTITE 495 DE 3 GRAMOS,21,UNIDAD,ACCESORIOS,17/10/2025,121.44,COR,
AC1021,SOBRE MANILA LEGAL,5,UNIDAD,ACCESORIOS,18/07/2025,5.175,COR,
AC1023,TAPON PVC DE 1-1/2 Pulgadas,8,UNIDAD,ACCESORIOS,18/05/2021,10.36,COR,
AC1024,CONECTOR CAMLOCK DE 3 Pulgadas - MF C300 IAL,9,UNIDAD,ACCESORIOS,07/09/2023,318.32,COR,
AC1025,CONECTOR CAMLOCK DE 4 Pulgadas - MF A400 IAL,7,UNIDAD,ACCESORIOS,24/10/2022,881.82,COR,
AC1026,CONECTOR CAMLOCK DE 4 Pulgadas - MF C400 IAL,2,UNIDAD,ACCESORIOS,24/10/2022,"2,180.27",COR,
AC1028,ETIQUETAS ADHESIVAS 3x4 Pulgadas LAMINADO - EXTRACEITE,"4,000.00",UNIDAD,ACCESORIOS,26/02/2021,0.022,USD,
AC1031,LIJA DE TELA ESMERIL #120 -5400006,64,UNIDAD,ACCESORIOS,29/06/2022,19.5,COR,
AC1034,PRISIONERO ALLEN PR-32-080 1/2X1-1/4,108,UNIDAD,ACCESORIOS,11/03/2021,15.04,COR,
AC1037,CONO DE SEDIMIENTACION IMHOFF 1 RACK 2500-28,1,UNIDAD,ACCESORIOS,22/12/2022,85.42,USD,
AC1038,GRAPAS 8MM PARA CABLE,1,BOLSA,ACCESORIOS,25/11/2022,50,COR,
AC1039,FORMATO BOLETAS DE INGRESO A BASCULAS,200,BLOCK,ACCESORIOS,22/06/2021,2.98,USD,
AC1043,CONO NARANJA BASE NEGRA CINTA REFLECTIVA (CONO DE TRANSITO),5,UNIDAD,ACCESORIOS,26/03/2025,518,COR,
AC1050,PLIEGUITOS DE PAPEL FOTO ADHESIVO,2,UNIDAD,ACCESORIOS,16/07/2022,195,COR,
AC1053,BROCA PARA METAL 27/64 Pulgadas,1,UNIDAD,ACCESORIOS,18/05/2021,298,COR,
AC1055,MAGUERA PARA PASE DE AGUA 1 Pulgadas,3,UNIDAD,ACCESORIOS,18/07/2025,"17,074.33",COR,
AC1060,FERRULES - 7325,99,UNIDAD,ACCESORIOS,21/08/2023,40.984,COR,
AC1074,ESPUMA LIMPIADORA 590,9,UNIDAD,ACCESORIOS,22/09/2021,600,COR,
